Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
1,Süper Lig,Trabzonspor,81,38,23,12,3,69,36,33,2022
2,Süper Lig,Fenerbahçe,73,38,21,10,7,73,38,35,2022
3,Süper Lig,Konyaspor,68,38,20,8,10,66,45,21,2022
4,Süper Lig,Basaksehir,65,38,19,8,11,56,36,20,2022
5,Süper Lig,Alanyaspor,64,38,19,7,12,67,58,9,2022
6,Süper Lig,Besiktas,59,38,15,14,9,56,48,8,2022
7,Süper Lig,Antalyaspor,59,38,16,11,11,54,47,7,2022
8,Süper Lig,Karagumruk,57,38,16,9,13,47,52,-5,2022
9,Süper Lig,Adana Demirspor,55,38,15,10,13,60,47,13,2022
10,Süper Lig,Sivasspor,54,38,14,12,12,52,50,2,2022
11,Süper Lig,Kasimpasa,53,38,15,8,15,67,57,10,2022
12,Süper Lig,Hatayspor,53,38,15,8,15,56,60,-4,2022
13,Süper Lig,Galatasaray,52,38,14,10,14,51,53,-2,2022
14,Süper Lig,Kayserispor,47,38,12,11,15,54,61,-7,2022
15,Süper Lig,Gazisehir Gaziantep,46,38,12,10,16,48,56,-8,2022
16,Süper Lig,Giresunspor,45,38,12,9,17,41,47,-6,2022
17,Süper Lig,Caykur Rizespor,36,38,10,6,22,44,71,-27,2022
18,Süper Lig,Altay,34,38,9,7,22,39,57,-18,2022
19,Süper Lig,Goztepe,28,38,7,7,24,40,77,-37,2022
20,Süper Lig,Yeni Malatyaspor,20,38,5,5,28,27,71,-44,2022